,|Q|[Ah](charge),Voltage[V](charge),Capacity[mAh/g](charge),|Q|[Ah](discharge),Voltage[V](discharge),Capacity[mAh/g](discharge)
0,6.207199e-08,3.34958,0.018054680046538686,5.730693e-07,4.2888,0.16668682373472948
1,1.7284656e-07,3.40019,0.05027532286212914,1.14614e-06,4.2862,0.33337405468295517
2,3.7911771e-07,3.45034,0.11027274869109947,1.71921e-06,4.28422,0.5000610820244328
3,8.3463554e-07,3.50049,0.2427677545084351,2.29227e-06,4.28253,0.6667452006980803
4,1.40762e-06,3.5225,0.40942990110529376,2.86534e-06,4.28024,0.8334322280395579
5,1.9806e-06,3.53152,0.5760907504363002,3.4384e-06,4.27856,1.0001163467132053
6,2.55358e-06,3.53688,0.7427515997673064,4.01147e-06,4.27688,1.1668033740546828
7,3.12657e-06,3.54024,0.9094153577661431,4.58454e-06,4.2755,1.3334904013961606
8,3.69955e-06,3.54314,1.0760762070971495,5.15761e-06,4.27351,1.5001774287376382
9,4.27253e-06,3.54528,1.2427370564281557,5.73067e-06,4.27214,1.6668615474112856
10,4.84552e-06,3.54697,1.4094008144269925,6.30374e-06,4.27061,1.833548574752763
11,5.4185e-06,3.54834,1.5760616637579987,6.8768e-06,4.26908,2.0002326934264105
12,5.99148e-06,3.54972,1.742722513089005,7.44987e-06,4.2677,2.166919720767888
13,6.56446e-06,3.55109,1.9093833624200116,8.02293e-06,4.26648,2.3336038394415355
14,7.13744e-06,3.55232,2.076044211751018,8.596e-06,4.26495,2.5002908667830135
15,7.71042e-06,3.55339,2.2427050610820243,9.16906e-06,4.26373,2.666974985456661
16,8.28341e-06,3.55461,2.4093688190808606,9.74213e-06,4.2622,2.833662012798138
17,8.85639e-06,3.55553,2.576029668411867,1.031519e-05,4.26113,3.0003461314717854
18,9.42937e-06,3.55614,2.742690517742873,1.088826e-05,4.25975,3.167033158813263
19,1.000235e-05,3.55706,2.9093513670738798,1.146132e-05,4.25868,3.3337172774869104
20,1.057533e-05,3.55767,3.076012216404887,1.203438e-05,4.25761,3.5004013961605582
21,1.114832e-05,3.55859,3.242675974403723,1.260745e-05,4.25608,3.667088423502036
22,1.17213e-05,3.5592,3.4093368237347295,1.318051e-05,4.25501,3.833772542175683
23,1.229428e-05,3.56012,3.5759976730657357,1.375357e-05,4.25379,4.000456660849331
24,1.286726e-05,3.56057,3.742658522396742,1.432664e-05,4.25241,4.167143688190809
